o;o_label;o_synonym
http://purl.obolibrary.org/obo/UBERON_0003011;facial motor nucleus;nVII
http://purl.obolibrary.org/obo/UBERON_0003011;facial motor nucleus;nucleus nervi facialis
http://purl.obolibrary.org/obo/UBERON_0003011;facial motor nucleus;nucleus motorius nervi facialis
http://purl.obolibrary.org/obo/UBERON_0003011;facial motor nucleus;nucleus facialis
http://purl.obolibrary.org/obo/UBERON_0003011;facial motor nucleus;n. nervi facialis
http://purl.obolibrary.org/obo/UBERON_0003011;facial motor nucleus;motor nucleus VII
http://purl.obolibrary.org/obo/UBERON_0003011;facial motor nucleus;motor nucleus of VII
http://purl.obolibrary.org/obo/UBERON_0003011;facial motor nucleus;motor nucleus of facial nerve
http://purl.obolibrary.org/obo/UBERON_0003011;facial motor nucleus;facial nerve motor nucleus
http://purl.obolibrary.org/obo/UBERON_0003011;facial motor nucleus;branchiomotor nucleus of facial nerve
http://purl.obolibrary.org/obo/UBERON_0003011;facial motor nucleus;facial motor nucleus
http://purl.obolibrary.org/obo/UBERON_0003011;facial motor nucleus;facial nucleus
http://purl.obolibrary.org/obo/UBERON_0003126;trachea;windpipe
http://purl.obolibrary.org/obo/UBERON_0003126;trachea;vertebrate trachea
http://purl.obolibrary.org/obo/UBERON_0003126;trachea;tracheal tubule
http://purl.obolibrary.org/obo/UBERON_0003126;trachea;cartilaginous trachea
http://purl.obolibrary.org/obo/UBERON_0003708;carotid sinus;sinus caroticus
http://purl.obolibrary.org/obo/UBERON_0003708;carotid sinus;carotid bulb
http://purl.obolibrary.org/obo/UBERON_0003715;splanchnic nerve;visceral nerve
http://purl.obolibrary.org/obo/UBERON_0003715;splanchnic nerve;splanchnic nerves
http://purl.obolibrary.org/obo/UBERON_0003721;lingual nerve;trigeminal V nerve lingual branch
http://purl.obolibrary.org/obo/UBERON_0003721;lingual nerve;trigeminal nerve lingual branch
http://purl.obolibrary.org/obo/UBERON_0003721;lingual nerve;lingual branch of trigeminal nerve
http://purl.obolibrary.org/obo/UBERON_0003729;mouth mucosa;tunica mucosa oris
http://purl.obolibrary.org/obo/UBERON_0003729;mouth mucosa;oral part of viscerocranial mucosa
http://purl.obolibrary.org/obo/UBERON_0003729;mouth mucosa;oral mucous membrane
http://purl.obolibrary.org/obo/UBERON_0003729;mouth mucosa;oral mucosa
http://purl.obolibrary.org/obo/UBERON_0003729;mouth mucosa;mucous membrane of mouth
http://purl.obolibrary.org/obo/UBERON_0003729;mouth mucosa;mucosal lining of mouth
http://purl.obolibrary.org/obo/UBERON_0003729;mouth mucosa;mucosa of mouth
http://purl.obolibrary.org/obo/UBERON_0003729;mouth mucosa;mouth organ mucosa
http://purl.obolibrary.org/obo/UBERON_0003729;mouth mucosa;mouth mucous membrane
http://purl.obolibrary.org/obo/UBERON_0003729;mouth mucosa;buccal mucosa
http://purl.obolibrary.org/obo/UBERON_0003729;mouth mucosa;mouth mucosa
http://purl.obolibrary.org/obo/UBERON_0003881;CA1 field of hippocampus;region i of hippocampus proper
http://purl.obolibrary.org/obo/UBERON_0003881;CA1 field of hippocampus;region i of ammon's horn
http://purl.obolibrary.org/obo/UBERON_0003881;CA1 field of hippocampus;region CA1
http://purl.obolibrary.org/obo/UBERON_0003881;CA1 field of hippocampus;region 1 of Ammon's horn
http://purl.obolibrary.org/obo/UBERON_0003881;CA1 field of hippocampus;regio superior of the hippocampus
http://purl.obolibrary.org/obo/UBERON_0003881;CA1 field of hippocampus;regio superior
http://purl.obolibrary.org/obo/UBERON_0003881;CA1 field of hippocampus;regio i hippocampi proprii
http://purl.obolibrary.org/obo/UBERON_0003881;CA1 field of hippocampus;regio i cornus ammonis
http://purl.obolibrary.org/obo/UBERON_0003881;CA1 field of hippocampus;prosubiculum = distal ca1
http://purl.obolibrary.org/obo/UBERON_0003881;CA1 field of hippocampus;hippocampus CA1
http://purl.obolibrary.org/obo/UBERON_0003881;CA1 field of hippocampus;field CA1, Ammon's horn (Lorente de Ns)
http://purl.obolibrary.org/obo/UBERON_0003881;CA1 field of hippocampus;field CA1 of hippocampus
http://purl.obolibrary.org/obo/UBERON_0003881;CA1 field of hippocampus;field CA1
